front,back,hint,publishedAt
provvedere,provide,", che significa ""dare"" o ""provvedere"".",2026-07-09T03:44:03.186Z
azienda,company,Da quanto tempo lavori in questa azienda?,2026-07-09T03:41:27.664Z
"non devi aver
fatto l'università, mille esami su questi
argomenti per imparare a fare codice.",You don't have to have gone to university and taken a thousand exams on these topics to learn how to code.,,2026-07-08T23:06:28.552Z
argomenti,topics,argomenti per imparare a fare codice.,2026-07-08T23:05:49.016Z
codice,code,argomenti per imparare a fare codice.,2026-07-08T23:05:40.640Z
genio,genius,non devi essere un genio in matematica,2026-07-08T23:05:24.226Z
siti web,websites,"ingegnere informatico per fare siti web,",2026-07-08T23:05:13.882Z
ingegnere,engineer,"ingegnere informatico per fare siti web,",2026-07-08T23:04:57.313Z
"partiamo subito da
una prima cosa",let's start right away with a first thing,,2026-07-08T23:04:44.121Z
nulla,nothing,La mia stanza è in ___ e non riesco a trovare nulla.,2026-07-08T23:01:39.178Z
riesco,I can,La mia stanza è in ___ e non riesco a trovare nulla.,2026-07-08T23:01:32.799Z
fornire,provide,Il negozio fornisce prodotti freschi.,2026-07-08T23:00:42.684Z
"Il verbo alimentare significa fornire cibo o nutrimento. Può anche riferirsi a sostenere o nutrire qualcosa in senso figurato, come idee o emozioni.","The verb 'alimentare' means to provide food or nourishment. It can also refer to supporting or fueling something figuratively, such as ideas or emotions.",,2026-07-08T23:00:39.673Z
figurato,figurative,"Può anche riferirsi a sostenere o nutrire qualcosa in senso figurato, come idee o emozioni.",2026-07-08T23:00:21.411Z
sostenere,nurture,"Può anche riferirsi a sostenere o nutrire qualcosa in senso figurato, come idee o emozioni.",2026-07-08T23:00:10.247Z
riferirsi,refer,"Può anche riferirsi a sostenere o nutrire qualcosa in senso figurato, come idee o emozioni.",2026-07-08T23:00:03.018Z
significa,means,significa fornire cibo o nutrimento.,2026-07-08T22:59:34.530Z
Da quanto tempo hai febbre? ,How long have you had a fever?,,2026-07-08T14:12:26.030Z
Da quanto tempo,How long,Da quanto tempo lavori in questa azienda?,2026-07-08T14:12:18.451Z
Capisco,I understand.,Capisco.,2026-07-08T14:12:01.920Z
Da quanto tempo hai febbre? E qual è la tua temperatura?,How long have you had a fever? And what is your temperature?,,2026-07-08T14:11:57.260Z
Quali sintomi hai oggi? Hai febbre o tosse?,What symptoms do you have today? Do you have a fever or a cough?,,2026-07-08T14:11:33.903Z
sintomi,symptoms,Quali sintomi hai oggi?,2026-07-08T14:11:27.344Z
tosse,cough,tosse,2026-07-08T14:11:07.688Z
